Type,Title,Choice1,Choice2,Choice3,Choice4,Correct
MCQ,"Le site AD DS Paris est composé de deux contrôleurs de domaine DC1 et DC2. Vous utilisez un outil LDAP pour modifier l'attribut numéro de téléphone sur un objet utilisateur. L'outil cible DC1 pour l'opération. Combien de temps devez-vous attendre pour voir la valeur répliquée sur DC2 ?","Quelques secondes","Quelques minutes","Cela dépend du planning défini sur le site AD DS Paris","",1
MCQ,"Les objets de stratégie de groupe peuvent être utilisés pour configurer quel aspect de la configuration ?","Seulement les paramètres de l'ordinateur","Les deux","Seulement l'environnement de l'utilisateur","",2
MCQ,"Lorsque vous vous inscrivez à un service cloud de Microsoft (tel qu'Azure ou Office 365), vous obtenez automatiquement un annuaire Azure AD associé à votre locataire.","Oui","Non","","",1
MCQ,"OpenID est un protocole appartenant à Microsoft.","Oui","Non","","",2
MCQ,"Lorsque vous réglez la valeur du registre LDAPServerIntegrity sur vrai, cela impose l'utilisation de LDAPs pour les Simple Binds.","Oui","Non","","",1
MCQ,"Le transfert de zone DNS doit être configuré sur une IP spécifique ou ne pas être autorisé.","Oui","Non","","",1
MCQ,"SAM-R est un protocole qui peut être utilisé pour afficher la session de l'utilisateur sur des serveurs.","Oui","Non","","",2
MCQ,"Pourquoi Active Directory est-il une cible idéale pour les attaquants ?","Il permet l'accès aux données financières","Il permet l'accès aux applications héritées","Il permet l'accès aux serveurs de production","Il permet l'accès à toutes les boîtes aux lettres","1,2,3,4"
MCQ,"Quels outils et fonctionnalités Windows peuvent être utilisés pour effectuer une copie de l'ombre de la base de données ?","WMI","LDAP","NETSH","NTP",1
MCQ,"Quelles sont les phases génériques d'une attaque observées dans les environnements Microsoft ?","Reconnaissance/Mouvement latéral/Crédits compromis/Domination","Reconnaissance/Crédits compromis/Mouvement latéral/Domination","Crédits compromis/Reconnaissance/Mouvement latéral/Domination","",2
MCQ,"NTLM Roasting est une technique pour déchiffrer le challenge NTLM.","Oui","Non","","",2
MCQ,"Les FGPP sont utilisés pour ?","Appliquer le mot de passe de l'administrateur local sur les serveurs et les postes de travail","Appliquer une politique de mot de passe spécifique à un utilisateur ou à un groupe d'utilisateurs","Changer la politique de mot de passe sur un serveur local ou un poste de travail","",2
