Type,Title,Choice,Choice,Choice,Choice,Correct
MCQ,Quelle est l'une des principales nouveautés de Windows Server 2012 ?,Un nouveau gestionnaire de tâches,Un menu Démarrer repensé,Un nouveau gestionnaire de serveur,Un antivirus intégré,3
MCQ,Quel est l'objectif principal de SMB 3.0 ?,Support de l'impression réseau uniquement,Améliorer les connexions VPN,Améliorer le partage de fichiers et d'imprimantes,Rendre le serveur plus rapide,3
MCQ,Quelle est la fonctionnalité de SMB Multichannel ?,Augmente le nombre de serveurs,Supporte plusieurs connexions par session SMB,Permet le routage dynamique,Augmente la sécurité du serveur,2
MCQ,Quel est l'avantage de SMB Scale Out ?,Augmente la latence,Réduit le nombre de connexions,Augmente l'évolutivité et la bande passante,Réduit l'utilisation de RAM,3
MCQ,Qu'est-ce que DAC dans Windows Server 2012 ?,Un logiciel antivirus,Un outil de gestion de pare-feu,Un contrôle d'accès dynamique,Un outil de virtualisation,3
MCQ,Quel service est utilisé pour déployer les règles DAC ?,Service DHCP,Service DNS,Active Directory,Hyper-V,3
MCQ,Quelle méthode est utilisée pour modifier le BCD ?,Utilisation de Notepad,Utilisation de PowerShell uniquement,Utilisation de BCDEdit.exe,Utilisation de CMD.exe,3
MCQ,Qu'est-ce que le BCD Store contient ?,Les logs système,Les identifiants utilisateur,Les informations de démarrage,Les fichiers d'installation,3
MCQ,Quel protocole est utilisé par DirectAccess ?,PPTP,HTTP,IPSec,FTP,3
MCQ,Quelle édition de Windows Server 2012 est la plus complète ?,Essentials,Foundation,Standard,Datacenter,4
MCQ,Quel est le rôle de RemoteFX ?,Support de l’audio sur RDP,Minimiser l’utilisation CPU et bande passante,Créer des sessions RDP multiples,Configurer DNS automatiquement,2
MCQ,Quel est l'avantage du système de fichiers ReFS ?,Réduit la consommation d'énergie,Améliore l’interface graphique,Supporte les étiquettes de volume,Fonctionne avec Storage Spaces,4
MCQ,Quelle est la résolution minimale requise pour Windows Server 2012 ?,1024x768,1280x720,SVGA 800x600,640x480,3
MCQ,Quel est le minimum de RAM requis ?,128MB,256MB,512MB,1GB,3
MCQ,Quelle méthode n'est pas supportée pour modifier le BCD ?,BCDEdit.exe,WMI,Powershell,Excel,4
MCQ,Qu'est-ce que l'outil BPA ?,Analyseur antivirus,Firewall intelligent,Analyseur de bonnes pratiques,Optimiseur de disques,3
MCQ,Quel est le rôle de Hyper-V Replica ?,Créer des VLANs,Réduire les attaques DDoS,Assurer la continuité des activités,Créer des GPO,3
MCQ,Quel format remplace VHD dans Hyper-V ?,VHDX,VHD2,VDSX,VXHD,1
MCQ,Quel service offre l'accès réseau automatique depuis Internet ?,DHCP,VPN classique,DirectAccess,FTP,3
MCQ,Quel composant est responsable de la sélection du système au démarrage ?,Task Scheduler,Windows Boot Manager,Device Manager,System Monitor,2
MCQ,Quelle est l'une des principales nouveautés de Windows Server 2012 ? (suite 2),Un nouveau gestionnaire de tâches,Un menu Démarrer repensé,Un nouveau gestionnaire de serveur,Un antivirus intégré,3
MCQ,Quel est l'objectif principal de SMB 3.0 ? (suite 2),Support de l'impression réseau uniquement,Améliorer les connexions VPN,Améliorer le partage de fichiers et d'imprimantes,Rendre le serveur plus rapide,3
MCQ,Quelle est la fonctionnalité de SMB Multichannel ? (suite 2),Augmente le nombre de serveurs,Supporte plusieurs connexions par session SMB,Permet le routage dynamique,Augmente la sécurité du serveur,2
MCQ,Quel est l'avantage de SMB Scale Out ? (suite 2),Augmente la latence,Réduit le nombre de connexions,Augmente l'évolutivité et la bande passante,Réduit l'utilisation de RAM,3
MCQ,Qu'est-ce que DAC dans Windows Server 2012 ? (suite 2),Un logiciel antivirus,Un outil de gestion de pare-feu,Un contrôle d'accès dynamique,Un outil de virtualisation,3
MCQ,Quel service est utilisé pour déployer les règles DAC ? (suite 2),Service DHCP,Service DNS,Active Directory,Hyper-V,3
MCQ,Quelle méthode est utilisée pour modifier le BCD ? (suite 2),Utilisation de Notepad,Utilisation de PowerShell uniquement,Utilisation de BCDEdit.exe,Utilisation de CMD.exe,3
MCQ,Qu'est-ce que le BCD Store contient ? (suite 2),Les logs système,Les identifiants utilisateur,Les informations de démarrage,Les fichiers d'installation,3
MCQ,Quel protocole est utilisé par DirectAccess ? (suite 2),PPTP,HTTP,IPSec,FTP,3
MCQ,Quelle édition de Windows Server 2012 est la plus complète ? (suite 2),Essentials,Foundation,Standard,Datacenter,4
MCQ,Quel est le rôle de RemoteFX ? (suite 2),Support de l’audio sur RDP,Minimiser l’utilisation CPU et bande passante,Créer des sessions RDP multiples,Configurer DNS automatiquement,2
MCQ,Quel est l'avantage du système de fichiers ReFS ? (suite 2),Réduit la consommation d'énergie,Améliore l’interface graphique,Supporte les étiquettes de volume,Fonctionne avec Storage Spaces,4
MCQ,Quelle est la résolution minimale requise pour Windows Server 2012 ? (suite 2),1024x768,1280x720,SVGA 800x600,640x480,3
MCQ,Quel est le minimum de RAM requis ? (suite 2),128MB,256MB,512MB,1GB,3
MCQ,Quelle méthode n'est pas supportée pour modifier le BCD ? (suite 2),BCDEdit.exe,WMI,Powershell,Excel,4
MCQ,Qu'est-ce que l'outil BPA ? (suite 2),Analyseur antivirus,Firewall intelligent,Analyseur de bonnes pratiques,Optimiseur de disques,3
MCQ,Quel est le rôle de Hyper-V Replica ? (suite 2),Créer des VLANs,Réduire les attaques DDoS,Assurer la continuité des activités,Créer des GPO,3
MCQ,Quel format remplace VHD dans Hyper-V ? (suite 2),VHDX,VHD2,VDSX,VXHD,1
MCQ,Quel service offre l'accès réseau automatique depuis Internet ? (suite 2),DHCP,VPN classique,DirectAccess,FTP,3
MCQ,Quel composant est responsable de la sélection du système au démarrage ? (suite 2),Task Scheduler,Windows Boot Manager,Device Manager,System Monitor,2
MCQ,Quelle est l'une des principales nouveautés de Windows Server 2012 ? (suite 3),Un nouveau gestionnaire de tâches,Un menu Démarrer repensé,Un nouveau gestionnaire de serveur,Un antivirus intégré,3
MCQ,Quel est l'objectif principal de SMB 3.0 ? (suite 3),Support de l'impression réseau uniquement,Améliorer les connexions VPN,Améliorer le partage de fichiers et d'imprimantes,Rendre le serveur plus rapide,3
MCQ,Quelle est la fonctionnalité de SMB Multichannel ? (suite 3),Augmente le nombre de serveurs,Supporte plusieurs connexions par session SMB,Permet le routage dynamique,Augmente la sécurité du serveur,2
MCQ,Quel est l'avantage de SMB Scale Out ? (suite 3),Augmente la latence,Réduit le nombre de connexions,Augmente l'évolutivité et la bande passante,Réduit l'utilisation de RAM,3
MCQ,Qu'est-ce que DAC dans Windows Server 2012 ? (suite 3),Un logiciel antivirus,Un outil de gestion de pare-feu,Un contrôle d'accès dynamique,Un outil de virtualisation,3
MCQ,Quel service est utilisé pour déployer les règles DAC ? (suite 3),Service DHCP,Service DNS,Active Directory,Hyper-V,3
MCQ,Quelle méthode est utilisée pour modifier le BCD ? (suite 3),Utilisation de Notepad,Utilisation de PowerShell uniquement,Utilisation de BCDEdit.exe,Utilisation de CMD.exe,3
MCQ,Qu'est-ce que le BCD Store contient ? (suite 3),Les logs système,Les identifiants utilisateur,Les informations de démarrage,Les fichiers d'installation,3
MCQ,Quel protocole est utilisé par DirectAccess ? (suite 3),PPTP,HTTP,IPSec,FTP,3
MCQ,Quelle édition de Windows Server 2012 est la plus complète ? (suite 3),Essentials,Foundation,Standard,Datacenter,4
MCQ,Quel est le rôle de RemoteFX ? (suite 3),Support de l’audio sur RDP,Minimiser l’utilisation CPU et bande passante,Créer des sessions RDP multiples,Configurer DNS automatiquement,2
MCQ,Quel est l'avantage du système de fichiers ReFS ? (suite 3),Réduit la consommation d'énergie,Améliore l’interface graphique,Supporte les étiquettes de volume,Fonctionne avec Storage Spaces,4
MCQ,Quelle est la résolution minimale requise pour Windows Server 2012 ? (suite 3),1024x768,1280x720,SVGA 800x600,640x480,3
