Type,Title,Choice1,Choice2,Choice3,Choice4,Correct
MCQ,"L'examen des droits d'accès des utilisateurs est un exemple de _____________ ?","Mesure de détection","Mesure préventive","Mesure corrective","",1
MCQ,"Dans une entreprise, des fuites d’informations via ordinateurs portables nuisent à l’image. Quelle première étape (mesure organisationnelle) prendre ?","Formuler une politique concernant les supports mobiles (PDA, ordinateurs portables, smartphones, clés USB)","Chiffrer les disques durs des ordinateurs portables et des clés USB","Nommer du personnel de sécurité","",1
MCQ,"Quel type de preuve est l'observation de la configuration d'un pare-feu ?","Technique","Analytique","Mathématique","",1
MCQ,"Parmi les réponses suivantes, laquelle est une mesure corrective et technique ?","Installer des alarmes (chaleur/fumée/feu/eau)","Utiliser la cryptographie","Changer tous les mots de passe de tous les systèmes lorsqu’une intrusion sur le réseau a été détectée","",3
MCQ,"Quel type de preuve d'audit est considéré comme le moins fiable ?","Physique","Confirmative","Verbale","",3
MCQ,"Quelle est l'une des finalités de l'approche basée sur les risques ?","Parvenir à des conclusions d'audit fiables et reproductibles dans un processus d'audit systématique.","Minimiser la possibilité de ne pas atteindre les objectifs de l'audit.","Les deux réponses précédentes (A et B).","",2
MCQ,"Dans une agence bancaire, un collaborateur collecte l'argent, l'enregistre et le dépose. À quel niveau le contrôle fait-il défaut ?","Contrôles de supervision de la gestion au niveau de l'entité","Contrôles au niveau des transactions","Contrôles de gouvernance au niveau de l'entité","",2
MCQ,"Le responsable SSI demande au responsable d'audit interne un conseil sur une application de sécurité, mais l’unique auditeur IT a quitté l’entreprise et n’est pas remplacé. Que faire ?","Accepter la mission et faire appel à une entreprise de conseil","Accepter la mission de conseil","Refuser la mission de conseil","",3
MCQ,"Quel type d'audit est l'audit interne ?","Audit de deuxième partie","Audit de tierce partie","Audit de première partie","",3
MCQ,"L'audité a soumis un plan d'action sans préciser de délai d'exécution. Est-ce acceptable ?","Non, l'audité ne doit pas soumettre un plan d'action","Oui, le délai d'exécution n'étant pas une exigence lors de l'élaboration d'un plan d'action","Non, chaque plan d'action doit comporter une période d'exécution","",3
MCQ,"Quel est l'un des objectifs de la phase d'audit préalable ?","Évaluer si les processus de l'audité sont conformes aux exigences.","Vérifier si le système de management est effectivement mis en œuvre.","Déterminer si les audits internes et les revues de direction sont réalisés.","",3
MCQ,"Quel type d'audit a lieu lorsque l'organisme audite son fournisseur ?","Audit client","Audit externe","Audit interne","",2
