Type,Title,Choice1,Choice2,Choice3,Choice4,Correct
MCQ,"Selon la norme ISO 7498-2 citée dans le cours, quelle est la définition exacte d'une vulnérabilité ?","Une cause potentielle d'un incident pouvant entraîner des dommages","Une faiblesse d'un composant exploitée pour porter atteinte au système","Une violation potentielle de la sécurité","L'exploitation d'une menace par un agent malveillant",3
MCQ,"Dans le cadre de l'évaluation DICT, que représente concrètement un besoin de disponibilité de 'Niveau 5' ?","Une disponibilité de 99% avec une tolérance aux pannes mineures","Une durée maximale d'interruption admissible (DMIA) inférieure à 6 minutes","Une garantie que seules les personnes autorisées accèdent aux fonctions","Une traçabilité nominative de chaque interaction",2
MCQ,"Une erreur ou une négligence commise spécifiquement par un administrateur système lors du paramétrage d'un serveur est classée comme :","Une vulnérabilité de conception","Une vulnérabilité d'implémentation","Une vulnérabilité d'exploitation","Une menace interne involontaire",3
MCQ,"L'attaque par rançongiciel (Ransomware) décrite dans le cours utilise principalement quel levier pour sa propagation initiale et son exécution ?","Le déni de service distribué (DDoS)","Le chiffrement des données via une faille matérielle","L'hameçonnage (phishing) et l'exploitation de la faille EternalBlue","Le pivoting via un accès physique aux bâtiments",3
MCQ,"Quel critère de sécurité la 'signature électronique' (via la cryptographie) vise-t-elle principalement à garantir selon les exercices du cours ?","La Disponibilité et la Confidentialité","L'Intégrité et la Traçabilité","La Confidentialité uniquement","La Sécurité physique du matériel",2
MCQ,"Dans l'architecture d'une attaque DDoS distribuée et hiérarchique, quel est le rôle des 'Esclaves' (zombies) ?","Piloter directement les actions du pirate","Exécuter l'ordre de saturation vers la cible finale","Gérer la base de données des vulnérabilités","Détecter les pare-feux de la victime",2
MCQ,"Quel est le principe fondamental de la 'Défense en profondeur' (Security in Depth) ?","Utiliser un seul pare-feu extrêmement puissant","Multiplier les barrières autonomes et indépendantes","Se concentrer uniquement sur la sécurité périmétrique","Remplacer les individus par des solutions automatiques",2
MCQ,"Parmi les normes ISO citées, laquelle est spécifiquement définie comme un 'Code de bonnes pratiques' non certifiant pour les entreprises ?","ISO 27001","ISO 27002","ISO 27005","ISO 9001",2
MCQ,"Dans le framework MITRE ATT&CK, quelle est la différence entre une 'Tactique' et une 'Technique' ?","La tactique est l'identifiant (TXXXX) et la technique est le nom","La tactique est l'objectif (le pourquoi) et la technique est la méthode (le comment)","La tactique est pour le Cloud et la technique pour le réseau local","Il n'y a aucune différence, ce sont des synonymes",2
MCQ,"Quelle mesure organisationnelle est citée pour garantir que les prestataires n'impactent pas la sécurité du SI de leurs clients ?","L'installation d'un antivirus","Les clauses contractuelles","La formation des utilisateurs","La mise en place d'un Honeypot",2
