Type,Title,Choice,Choice,Choice,Choice,Correct
MCQ,Quel est l'objectif principal de la philosophie DevOps ?,Accélérer le développement uniquement,Améliorer la collaboration entre les équipes de développement et d'opérations,Réduire le nombre de développeurs,Augmenter les réunions quotidiennes,2
MCQ,Quel est un avantage clé de l'approche DevOps ?,Augmentation des cycles de livraison,Augmentation des erreurs humaines,Réduction du time-to-market,Silos organisationnels renforcés,3
MCQ,Qu'est-ce qui caractérise une approche DevOps réussie ?,Processus manuels fréquents,Communication limitée,Automatisation et collaboration,Isolation des équipes,3
MCQ,Quel principe consiste à tester sur un environnement proche de la production ?,Shift Left,Production Mirage,Test Blackbox,Feedback Loop,1
MCQ,Quel outil est utilisé pour l'automatisation des déploiements et configurations ?,Docker,Terraform,Ansible,Kubernetes,3
MCQ,Qu'est-ce que l'Infrastructure as Code (IaC) ?,Une documentation sur l'infrastructure,Des scripts de supervision,L'automatisation de la configuration réseau,Définition de l'infrastructure par du code versionné,4
MCQ,Quel outil CI/CD est spécifiquement conçu pour Kubernetes ?,Jenkins,GitLab CI,Tekton,Spinnaker,3
MCQ,Quel est le rôle de Kubernetes dans le DevOps moderne ?,Créer des VM,Exécuter les tests unitaires,Orchestrer des conteneurs,Déployer des scripts Python,3
MCQ,Quel est le principal avantage du monitoring continu ?,Diminuer les tests,Obtenir des retours en temps réel,Augmenter le temps de build,Réduire l’automatisation,2
MCQ,Quelle est une caractéristique de la livraison continue ?,Déploiement manuel obligatoire,Pas de tests automatisés,Logiciel toujours prêt à être déployé,Utilisation exclusive de GitHub,3
MCQ,Quel est l’un des piliers du DevOps favorisant l'amélioration continue ?,Automatisation,Documentation,Isolation des équipes,Formalisation manuelle,1
MCQ,Quelle est une conséquence directe de l'adoption de DevOps sur le feedback client ?,Moins de retours,Feedbacks centralisés uniquement,Feedbacks plus rapides et intégrés,Aucune influence,3
MCQ,Quel outil est conçu pour synchroniser les applications Kubernetes avec Git (GitOps) ?,Jenkins,Spinnaker,Argo CD,Tekton,3
MCQ,Quelle technologie de containerisation encapsule les dépendances et le code d'une application ?,VMware,Docker,Kubernetes,Terraform,2
MCQ,Quel service AWS est utilisé pour le stockage d'objets ?,IAM,RDS,S3,EC2,3
MCQ,Quel est le rôle principal de Terraform dans une infrastructure cloud ?,Monitoring,Provisionnement d'infrastructure,Sécurisation réseau,Test unitaire,2
MCQ,Pourquoi la culture DevOps valorise-t-elle l'expérimentation ?,Pour faire plus d'erreurs,Pour ralentir le développement,Pour apprendre et s'améliorer continuellement,Pour plaire aux managers,3
MCQ,Qu’est-ce que GitFlow ?,Un outil de déploiement,Une méthode de gestion de conteneurs,Une stratégie de branching,Une commande Linux,3
MCQ,Quel est le principal avantage de l’IaC ?,Configuration manuelle des machines,Surveillance en temps réel,Création d’environnements reproductibles,Ajout d’images Docker,3
MCQ,Quel est un bénéfice de l’automatisation dans DevOps ?,Plus d'interventions humaines,Plus de bugs,Réduction des erreurs humaines,Code moins lisible,3
TF,L'approche DevOps favorise le travail en silos entre les équipes.,Vrai,Faux,,,2
TF,"Les conteneurs utilisent le noyau du système hôte, ce qui les rend plus légers que les machines virtuelles.",Vrai,Faux,,,1
MCQ,"Dans DevOps, le concept de ______ permet de définir l’infrastructure à l’aide de code.",Infrastructure as Code,Infrastructure as Data,Infrastructure Centralisée,Infrastructure Legacy,1
MCQ,Le processus d'intégration continue inclut des tests ______ pour valider le code.,automatisés,manuels,unitaires,visuels,1
MCQ,Quel est un avantage clé du cloud computing ?,Évolutivité,Coût plus élevé,Temps de déploiement plus long,Maintenance manuelle,1
MCQ,Lequel de ces modèles n’est PAS un modèle de déploiement cloud ?,Cloud public,Cloud privé,Cloud collectif,Cloud hybride,3
MCQ,Quel service AWS permet de stocker des objets ?,Amazon S3,Amazon EC2,Amazon RDS,Amazon VPC,1
MCQ,Qu’est-ce que la haute disponibilité dans le cloud ?,Un service disponible uniquement le jour,Un service toujours disponible avec redondance,Un service lent mais stable,Un service avec une seule instance,2
MCQ,Quelle caractéristique est typique du modèle IaaS ?,Le client gère les VM et les OS,Le client code une fonction,Le client gère les racks physiques,Le fournisseur gère toute la pile,1
MCQ,Quel modèle de service cloud vous permet de vous concentrer uniquement sur votre code ?,IaaS,PaaS,SaaS,FaaS,2
MCQ,Quel est l’avantage du paiement à l’utilisation dans AWS ?,Payer même quand on n’utilise pas,Flexibilité des coûts,Payer d’avance pour 3 ans,Coût fixe,2
MCQ,Comment AWS garantit-il la tolérance aux pannes ?,En supprimant les erreurs,En utilisant une région unique,En répliquant les ressources entre zones de disponibilité,En évitant les sauvegardes,3
MCQ,Les régions AWS sont composées de quoi ?,De zones de disponibilité,De buckets S3,De bases de données,De scripts Python,1
MCQ,Quelle affirmation est vraie sur le cloud computing ?,Il est rigide,Il nécessite beaucoup d'investissement initial,Il permet une élasticité des ressources,Il remplace les développeurs,3
TF,L'utilisation du cloud permet d'accélérer l'innovation.,Vrai,Faux,,,1
TF,Les ressources dans le cloud sont disponibles en illimité.,Vrai,Faux,,,1
TF,Une zone de disponibilité est identique à une région.,Vrai,Faux,,,2
TF,Le cloud computing rend l’approvisionnement plus lent.,Vrai,Faux,,,2
TF,AWS est un fournisseur de cloud public.,Vrai,Faux,,,1
MCQ,Lequel de ces services est un exemple de compute dans AWS ?,Amazon EC2,Amazon S3,Amazon RDS,Amazon CloudFront,1
MCQ,Qu’est-ce que l’élasticité dans le contexte AWS ?,Changer d’instance toutes les heures,Ajouter ou supprimer automatiquement des ressources,Changer de région,Dupliquer les bases de données,2
MCQ,Quel service permet de déployer des applications sans gérer les serveurs ?,AWS Lambda,Amazon EC2,Amazon EBS,Amazon CloudWatch,1
MCQ,Quel avantage AWS permet une gestion centralisée des identités ?,Amazon IAM,Amazon S3,Amazon RDS,Amazon Route 53,1
MCQ,Quel modèle AWS offre des logiciels via un navigateur ?,SaaS,PaaS,IaaS,DRaaS,1
MCQ,Que permet le service AWS CloudFormation ?,Créer des infrastructures via du code,Créer des buckets,Créer des VM avec un clic,Surveiller les logs,1
MCQ,Combien de zones de disponibilité au minimum possède une région AWS typique ?,1,2,3,4,3
MCQ,Le cloud computing est généralement basé sur quel principe ?,Infrastructure physique dédiée,Partage des ressources,Isolation complète,Utilisation unique,2
MCQ,Quel est le rôle principal de l’Amazon VPC ?,Créer des bases de données,Stocker des objets,Configurer des réseaux privés virtuels,Gérer les utilisateurs,3
MCQ,AWS propose-t-il un service de base de données managé ?,Oui,Non,Seulement en Chine,Seulement pour les startups,1
MCQ,Quel service AWS surveille les performances et les alertes ?,Amazon CloudWatch,Amazon EC2,Amazon IAM,Amazon SQS,1
