Type,Title,Choice1,Choice2,Choice3,Choice4,Correct
MCQ,What is the primary role of Docker in container orchestration?,Monitor network performance,Automate deployment of containerized applications,Manage virtual machines,Compile source code,2
MCQ,Which command builds a Docker image from a Dockerfile?,docker build,docker pull,docker commit,docker run,1
MCQ,Which Dockerfile instruction specifies the base image?,ENTRYPOINT,CMD,RUN,FROM,4
MCQ,Which docker run option publishes a container port to the host?,-P,-p,--network,-v,2
MCQ,Which command lists running Docker containers?,docker ls,docker ps,docker images,docker containers list,2
MCQ,Which command removes all stopped containers and unused images?,docker system prune,docker rm --all,docker cleanup,docker prune all,1
MCQ,Which field in docker-compose.yml specifies the syntax version?,syntaxVersion,apiVersion,version,composeVersion,3
MCQ,Which kubectl command lists pods in the default namespace?,kubectl list pods,kubectl ps,kubectl get pods,kubectl pods,3
MCQ,Which kubectl command provides full details about a pod?,kubectl explain pod <name>,kubectl inspect pod <name>,kubectl info pod <name>,kubectl describe pod <name>,4
MCQ,Which type of Kubernetes Service exposes only an internal cluster?,ClusterIP,LoadBalancer,ExternalName,NodePort,1
MCQ,Which type of Kubernetes Service opens a port on all cluster nodes?,NodePort,ClusterIP,Ingress,LoadBalancer,1
MCQ,Which Kubernetes resource isolates resources within the same cluster?,Zone,Namespace,Project,Context,2
MCQ,Which command applies a Kubernetes configuration file?,kubectl apply -f,kubectl create -f,kubectl set -f,kubectl run -f,1
MCQ,Which Helm file defines the default values of the chart?,Defaults.yaml,values.yaml,Chart.yaml,Config.yaml,2
MCQ,Which command installs a Helm chart named myapp from the current directory?,helm install myapp ./,helm run myapp ./,helm install myapp /charts/myapp,helm deploy myapp ./,1
MCQ,Which kubectl integrated tool deploys Kustomize manifests?,kubectl build -k,kubectl edit -k,kubectl kustomize,kubectl apply -k,4
MCQ,Which YAML directive references an alias defined by & elsewhere?,&,*,#,@,2
MCQ,Which file is used to exclude files during Docker image build?,.dockerignore,.ignore,dockerignore.txt,docker.exclude,1
MCQ,Which command shows logs of a container named web?,docker log web,docker logs web,docker logs --web,docker show logs web,2
MCQ,Which Dockerfile directive sets the container's entry point?,ENTRYPOINT,WORKDIR,CMD,EXPOSE,1
MCQ,Which Dockerfile directive adds metadata as labels?,ANNOTATE,ENV,MAINTAINER,LABEL,4
MCQ,Which Kubernetes command scales a deployment named frontend to 5 replicas?,kubectl resize deployment frontend --count=5,kubectl scale deployment frontend --replicas=5,kubectl update deployment frontend --replicas=5,kubectl set replicas deployment frontend 5,2
MCQ,Which Kubernetes resource stores sensitive data encoded in base64?,Volume,ConfigMap,Secret,PersistentVolumeClaim,3
MCQ,Which kubectl option forwards a local port to a pod named mypod?,kubectl net-forward mypod --port,kubectl proxy --pod mypod,kubectl port-forward pod/mypod 8080:80,kubectl forward-port mypod 8080:80,3
MCQ,Which command creates a namespace named test?,kubectl init namespace test,kubectl add namespace test,kubectl new namespace test,kubectl create namespace test,4
MCQ,Which type of Docker volume mounts a host directory into the container?,Tmpfs mount,Bind mount,Volume,Docker-managed volume,2
MCQ,Which type of Docker volume is managed by Docker and stored in /var/lib/docker/volumes?,Host mount,Volume,Overlay mount,Bind mount,2
MCQ,Which Kubernetes deployment strategy updates one pod at a time?,Recreate,BlueGreen,RollingUpdate,Canary,3
MCQ,Which deployment strategy recreates all pods before applying the new version?,Canary,RollingUpdate,BlueGreen,Recreate,4
MCQ,Which command deletes a deployment named backend?,kubectl remove deployment backend,kubectl delete backend deployment,kubectl destroy deployment backend,kubectl delete deployment backend,4
MCQ,Which Dockerfile directive sets an environment variable?,ENV,ARG,VAR,SET,1
MCQ,Which Dockerfile directive specifies a build-time-only variable?,SET,ARG,ENV,BUILD,2
MCQ,Which Kubernetes component orchestrates objects and communicates with the etcd API?,kube-proxy,kube-controller-manager,kube-scheduler,kube-apiserver,4
MCQ,Which Kubernetes component routes incoming network traffic to pods?,kube-controller-manager,kube-proxy,kube-scheduler,kubelet,2
MCQ,Which Kubernetes component schedules pod creation on available nodes?,kube-proxy,kubelet,kube-scheduler,kube-apiserver,3
MCQ,Which field in a Kubernetes Service manifest specifies labels to select pods?,matchLabels,labels,serviceLabels,selector,4
MCQ,Which command builds a Kubernetes manifest without applying it?,kubectl create --dry-run=client -f,kubectl plan -f,kubectl create --check -f,kubectl apply --plan,1
MCQ,Which Kustomize directive prefixes resource names?,commonLabels,namePrefix,configMapGenerator,patchesStrategicMerge,2
MCQ,Which Helm command updates a chart's dependencies?,helm chart deps,helm requirements build,helm dep build,helm dependency update,4
MCQ,Which directive in a service section of docker-compose.yml mounts a volume?,binds,volumes,mounts,links,2
MCQ,What does kubectl kustomize output to stdout?,patch files,kustomization output,merged manifests,metadata list,3
MCQ,Which command uninstalls a Helm chart named mychart?,helm uninstall mychart,helm delete mychart,helm purge mychart,helm remove mychart,1
MCQ,Which agent runs Kubernetes pods on each node?,kube-proxy,kubelet,kube-scheduler,kube-controller-manager,2
MCQ,Which Docker command provides detailed information about a container named app?,docker inspect app,docker show app,docker details app,docker info app,1
MCQ,Which type of Docker network creates an isolated default network for containers?,overlay,none,bridge,host,3
MCQ,Which type of Docker network shares the host's network namespace?,none,overlay,host,bridge,3
MCQ,Which Docker command creates a context named prod?,docker context new prod,docker context add prod,docker context init prod,docker context create prod,4
MCQ,What is the default storage driver used by Docker on Linux?,btrfs,devicemapper,aufs,overlay2,4
MCQ,Which command tags a local Docker image with a new repository name?,docker repo add,docker rename,docker commit,docker tag SOURCE_IMAGE[:TAG] TARGET_IMAGE[:TAG],4
MCQ,Which Docker Compose command rebuilds images before starting containers?,docker-compose start --build,docker-compose run --build,docker-compose up --build,docker-compose build,3
MCQ,What is the default network driver created by Docker Compose?,none,overlay,host,bridge,4
MCQ,Which Kubernetes object defines the desired state for a set of pods?,DaemonSet,Deployment,StatefulSet,ReplicaSet,4
MCQ,Which Kubernetes resource ensures that a copy of a pod runs on every node?,StatefulSet,Deployment,DaemonSet,ReplicaSet,3
