Type,Title,Choice1,Choice2,Choice3,Choice4,Correct
MCQ,"L’objectif principal du cours est de :","Apprendre des dates historiques","Étudier un problème en profondeur avec outils d’analyse","Mémoriser des théories politiques","Défendre la démocratie directe","2"
MCQ,"À l’issue du cours, les étudiants doivent être capables de :","Appliquer un mandat impératif","Mobiliser des concepts de science politique","Créer un parti politique","Supprimer la représentation","2"
MCQ,"La crise actuelle est qualifiée principalement de :","Crise institutionnelle pure","Crise économique uniquement","Crise de la représentation","Crise militaire","3"
MCQ,"La démocratie française est essentiellement :","Directe","Participative pure","Représentative","Autoritaire","3"
MCQ,"Le référendum permet de classer la France comme :","Démocratie directe","Démocratie semi-directe","République aristocratique","Monarchie parlementaire","2"
MCQ,"Dans la représentation politique, les actes des élus sont :","Indépendants du peuple","Attribués au peuple","Imposés par l’Europe","Validés par l’armée","2"
MCQ,"L’abstention profite principalement :","Aux partis centristes","Aux partis extrémistes","Aux ONG","Aux syndicats","2"
MCQ,"La crise n’est pas :","Nouvelle","Liée à la mondialisation","Spécifique à la France","Liée à l’économie","3"
MCQ,"La nouveauté de la crise réside dans :","L’apparition du vote","La conscience des limites du système","La fin des partis","La monarchie","2"
MCQ,"Platon considère que la démocratie dégénère en :","Oligarchie","Tyrannie","Politie","République","2"
MCQ,"Pour Aristote, la démocratie repose sur :","La monarchie éclairée","La rotation des charges","L’hérédité","Le suffrage censitaire","2"
MCQ,"La politie chez Aristote vise :","L’intérêt d’un groupe","L’intérêt militaire","L’intérêt de tous","L’intérêt religieux","3"
MCQ,"L’Ekklèsia correspond à :","Un tribunal","L’assemblée du peuple","Un magistrat","Un parti","2"
MCQ,"Le Conseil athénien est appelé :","Sénat","Boulè","Agora","Archonte","2"
MCQ,"Les stratèges étaient :","Tirés au sort","Élus","Héréditaires","Nombrés par le roi","2"
MCQ,"Le tirage au sort impliquait :","Mandat long","Mandat court","Mandat à vie","Mandat impératif","2"
MCQ,"La démocratie athénienne excluait :","Les citoyens hommes","Les femmes","Les magistrats","Les stratèges","2"
MCQ,"Selon Bernard Manin, le gouvernement représentatif :","Inclut le peuple assemblé","Supprime le rôle du peuple assemblé","Repose sur le tirage au sort","Est identique à Athènes","2"
MCQ,"La démocratie américaine naît avec :","La Révolution française","L’indépendance des colonies britanniques","La guerre froide","Le suffrage universel","2"
MCQ,"Les Fédéralistes défendaient :","La démocratie directe","La représentation","La monarchie","Le tirage au sort","2"
MCQ,"Le système électoral américain initial était :","Universel","Censitaire","Féminin","Obligatoire","2"
MCQ,"Madison souligne que les représentants doivent :","Ignorer les électeurs","Honorer leur confiance","Être tirés au sort","Être militaires","2"
MCQ,"Le suffrage universel masculin en France date de :","1789","1848","1944","1962","2"
MCQ,"Le droit de vote des femmes en France date de :","1936","1940","1944","1958","3"
MCQ,"Le suffrage universel direct présidentiel date de :","1944","1958","1962","1974","3"
MCQ,"Le mandat impératif en France :","Existe","N’existe pas","Est obligatoire","Est constitutionnel","2"
MCQ,"Le paradoxe de Condorcet montre que :","La majorité est toujours cohérente","Les préférences peuvent être circulaires","La dictature est rationnelle","Le vote est inutile","2"
MCQ,"A > B > C > A illustre :","Une hiérarchie stable","Une incohérence collective","Un consensus","Un tirage au sort","2"
MCQ,"Le théorème d’Arrow affirme que :","Un système parfait existe","Aucun système ne respecte 5 critères simultanément","La majorité absolue suffit","La démocratie directe est parfaite","2"
MCQ,"Un des critères d’Arrow est :","Monarchie","Universalité","Hérédité","Censure","2"
MCQ,"Selon Arrow, la volonté générale est :","Facilement déterminable","Mathématiquement certaine","Impossible à déterminer parfaitement","Toujours rationnelle","3"
MCQ,"Habermas est à l’origine de :","La démocratie directe","La démocratie délibérative","La démocratie censitaire","La contre-démocratie","2"
MCQ,"La délibération repose sur :","L’émotion","La rationalité argumentative","Le vote simple","La majorité brute","2"
MCQ,"Une limite du modèle de Habermas est :","Manque de débat","Excès de rationalité","Trop d’émotion","Tirage au sort","2"
MCQ,"La participation citoyenne peut exister :","Sans argumentation","Sans citoyens","Sans vote","Sans élus","1"
MCQ,"Un référendum relève plutôt de :","Délibération","Participation","Monarchie","Tirage au sort","2"
MCQ,"Loïc Blondiaux parle de :","Contre-démocratie","Impératif délibératif","Mandat impératif","Vote censitaire","2"
MCQ,"L’impératif délibératif implique que les élus :","Refusent le dialogue","Créent du dialogue","Suppriment les débats","Évitent la participation","2"
MCQ,"Cécile Blatrix invite à :","Multiplier les référendums","Se méfier des dispositifs participatifs","Supprimer les élus","Instaurer la démocratie directe","2"
MCQ,"Selon Blatrix, les dispositifs restent :","Dominés par les citoyens","Dominés par les élus","Neutres","Automatiques","2"
MCQ,"Pierre Rosanvallon développe le concept de :","Démocratie directe","Contre-démocratie","Démocratie censitaire","Démocratie monarchique","2"
MCQ,"La contre-démocratie repose sur :","Passivité citoyenne","Vigilance permanente","Vote obligatoire","Tirage au sort","2"
MCQ,"Les principes de la contre-démocratie incluent :","Hérédité","Vigilance et dénonciation","Silence politique","Autorité","2"
MCQ,"Les mouvements Occupy ou Nuit Debout :","Rejettent toute démocratie","Critiquent la représentation au nom de la démocratie","Sont monarchistes","Sont anti-vote","2"
MCQ,"Ces mouvements réclament :","Hiérarchie forte","Égalité et liberté","Autorité religieuse","Fin des élections","2"
MCQ,"Le numérique permet :","Fermeture du débat","Ouverture à nouveaux publics","Suppression des élus","Fin des partis","2"
MCQ,"Selon Monnoyer-Smith, les participants en ligne sont souvent :","Élus","Citoyens ordinaires","Militaires","Juges","2"
MCQ,"Les élus appliquent souvent :","Un modèle numérique innovant","Un modèle hors ligne aux pratiques numériques","Une démocratie directe","Un tirage au sort","2"
MCQ,"Les outils numériques :","Remplacent la représentation","Complètent la représentation","Suppriment les élections","Suppriment les élus","2"
MCQ,"Le rejet du vote en ligne reflète :","Une peur sécuritaire uniquement","Une vision de l’effort citoyen","Un refus de technologie","Une dictature","2"
MCQ,"La crise est aussi liée à :","Crise économique","Féodalité","Empire romain","Colonisation","1"
MCQ,"Thomas Piketty évoque :","Deux classes ouvrières","Deux élites qui s’opposent","Deux monarchies","Deux référendums","2"
MCQ,"Le pouvoir des lobbies questionne :","La démocratie directe","La représentation","La monarchie","Le tirage au sort","2"
MCQ,"Lippmann, Benkler, Sunstein s’interrogent sur :","La rationalité militaire","L’information du citoyen","La monarchie","Le tirage au sort","2"
MCQ,"Dans un scrutin à deux tours, il est possible que :","Le meilleur gagne toujours","Un gagnant ne soit pas préféré absolument","La majorité soit parfaite","La dictature émerge","2"
MCQ,"La démocratie athénienne combinait :","Participation et représentation","Monarchie et aristocratie","Empire et cité","Religion et politique","1"
MCQ,"La citoyenneté athénienne impliquait :","Simple résidence","Participation politique","Paiement d’impôt","Naissance noble","2"
MCQ,"Les archontes étaient :","Magistrats","Citoyens exclus","Femmes élues","Esclaves libres","1"
